"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL"
"001V";"Cây Cam Ngọt Của Tôi";"José Mauro de Vasconcelos";"2020";"NXB Hội Nhà Văn";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_217480.jpg"
"002V";"Một Ví Dụ Xoàng (Tái Bản 2023)";"Nguyễn Bình Phương";"2023";"Hội Nhà Văn";"https://cdn0.fahasa.com/media/catalog/product/m/o/mot-vi-du-xoang-2023.jpg"
"003V";"Những Ta";"Lê Minh Hà";"2024";"Hội Nhà Văn";"https://cdn0.fahasa.com/media/catalog/product/z/5/z5038318151982_a6570cc4d9a03accf85a613f691d8b90.jpg"
"004V";"Búi Thông Thơ Dại";"Đỗ Doãn Hoàng";"2019";"NXB Hội Nhà Văn";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_187831.jpg"
"005V";"Trốn Lên Mái Nhà Để Khóc";"Lam";"2023";"Dân Trí";"https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1-tr_n-l_n-m_i-nh_-_-kh_c-2.jpg"
"006V";"Và Để Cơn Mưa Nằm Yên";"Zelda";"2022";"Dân Trí";"https://cdn0.fahasa.com/media/catalog/product/3/9/392933.jpg"
"007V";"Từ Điển Tiếng “Em” - Tái Bản 2021";"Khotudien";"2021";"NXB Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/b/i/bia_tudientiengem-_1_.jpg"
"008V";"Vui Vẻ Không Quạu Nha 2 - Một Cuốn Sách Buồn… Cười";"Ở Đây Zui Nè";"2021";"	NXB Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/8/9/8935325000157.jpg"
"009V";"Điều Còn Lại Giữa Chúng Ta";"Jun Và An.";"2023";"Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/b/i/bia-chinh-_i_u-c_n-l_i-gi_a-ch_ng-ta.jpg"
"010V";"Dài Hơn Một Mùa Hè";"Lu";"2023";"Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1---d_i-h_n-1-m_a-h_1.jpg"
"011V";"Dear, Darling";"Hiên";"2022";"Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/8/9/8935325004896_1.jpg"
"012V";"Trả Lại Nụ Hôn";"Dương Thụy";"2018";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/8/9/8934974152750.jpg"
"013V";"Sông (Tái Bàn 2020)";"Nguyễn Ngọc Tư";"2020";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_44277.jpg"
"014V";"Người Quảng Đi Ăn Mì Quảng (Tái Bản)";"Nguyễn Nhật Ánh";"2018";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/8/9/8934974155317.jpg"
"015V";"Sài Gòn Chọn Nhớ Những Điều Thương - Cách Chúng Ta Cùng Nhau Đi Qua Đại Dịch";"Nhiều Tác Giả";"2022";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/8/9/8934974175667_11.jpg"
"016V";"Học Yêu Mình Sau Muôn Vẻ Nỗi Đau - Tặng Kèm Bookmark";"Yến Nhi";"2023";"Hà Nội";"https://cdn0.fahasa.com/media/catalog/product/b/i/bia_hoc-yeu-minh-sau-muon-ve-noi-dau-1.jpg"
"017V";"Lê Minh Khuê - Tuyển Tập Truyện Ngắn Và Vừa";"Lê Minh Khuê";"2019";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_575.jpg"
"018V";"Nhớ (Tái Bản 2021)";"Mạc Can";"2021";"	NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_237217.jpg"
"019V";"Hát Mãi Một Mình";"Đỗ Phấn";"2019";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_186651.jpg"
