"User-ID";"ISBN";"Book-Rating"
"53";"092V";"3"
"12";"080V";"2"
"187";"051E";"1"
"138";"066E";"1"
"174";"055E";"4"
"144";"065E";"1"
"30";"096V";"1"
"129";"066E";"5"
"142";"072E";"5"
"128";"061E";"5"
"29";"033V";"4"
"40";"092V";"0"
"03";"085V";"4"
"23";"006V";"0"
"123";"058E";"3"
"133";"064E";"5"
"51";"009V";"5"
"66";"082V";"2"
"133";"069E";"2"
"182";"071E";"2"
"117";"010V";"0"
"53";"089V";"0"
"05";"035V";"0"
"92";"077V";"2"
"58";"027V";"5"
"58";"086V";"0"
"33";"088V";"0"
"169";"060E";"4"
"17";"094V";"4"
"119";"100V";"4"
"174";"070E";"4"
"157";"066E";"3"
"186";"075E";"5"
"24";"092V";"0"
"169";"055E";"2"
"02";"086V";"0"
"05";"018V";"1"
"30";"016V";"1"
"08";"025V";"2"
"32";"041V";"2"
"75";"085V";"2"
"65";"002V";"1"
"39";"077V";"4"
"86";"100V";"3"
"153";"063E";"4"
"38";"014V";"4"
"86";"047V";"0"
"182";"064E";"0"
"56";"008V";"2"
"38";"047V";"4"
"92";"092V";"1"
"104";"008V";"2"
"20";"012V";"0"
"74";"087V";"2"
"146";"059E";"3"
"05";"086V";"3"
"72";"083V";"1"
"200";"066E";"2"
"02";"020V";"5"
"138";"072E";"0"
"200";"054E";"3"
"112";"038V";"0"
"02";"026V";"2"
"189";"067E";"0"
"144";"065E";"1"
"24";"024V";"2"
"89";"093V";"0"
"81";"036V";"4"
"32";"082V";"4"
"163";"053E";"4"
"143";"075E";"3"
"46";"095V";"1"
"14";"022V";"0"
"62";"027V";"3"
"161";"064E";"1"
"173";"052E";"3"
"61";"084V";"0"
"25";"050V";"1"
"104";"033V";"0"
"99";"082V";"4"
"120";"005V";"4"
"27";"009V";"5"
"61";"091V";"1"
"23";"010V";"0"
"122";"071E";"2"
"57";"021V";"3"
"129";"065E";"1"
"70";"019V";"4"
"130";"074E";"5"
"103";"090V";"5"
"45";"032V";"3"
"155";"057E";"5"
"133";"068E";"3"
"172";"069E";"2"
"124";"066E";"3"
"63";"034V";"2"
"63";"100V";"2"
"175";"066E";"5"
"121";"058E";"0"
"04";"097V";"1"
"13";"039V";"1"
"92";"082V";"5"
"83";"090V";"1"
"143";"065E";"1"
"61";"079V";"5"
"189";"058E";"0"
"102";"032V";"3"
"115";"076V";"0"
"48";"082V";"0"
"31";"030V";"4"
"72";"014V";"0"
"115";"038V";"0"
"182";"063E";"3"
"23";"089V";"4"
"49";"097V";"4"
"01";"008V";"3"
