"User-ID";"Location";"Age"
"97";"Hà Nội";38
"135";"Lạng Sơn";"NULL"
"104";"Đồng Nai";38
"31";"Hà Giang";"NULL"
"20";"Thừa Thiên Huế";40
"42";"Gia Lai";22
"99";"Tây Ninh";39
"63";"Hải Phòng";43
"163";"Cần Thơ";"NULL"
"162";"Tuyên Quang";"NULL"
"97";"Bắc Ninh";25
"92";"Sơn La";"NULL"
"71";"Lạng Sơn";18
"148";"Quảng Ngãi";"NULL"
"12";"Bắc Giang";"NULL"
"64";"Ninh Thuận";37
"20";"Lâm Đồng";"NULL"
"160";"Bắc Giang";"NULL"
"13";"Điện Biên";"NULL"
"25";"Bình Dương";"NULL"
"98";"Cao Bằng";"NULL"
"4";"Bắc Giang";43
"100";"Hà Nam";"NULL"
"156";"Hải Dương";"NULL"
"168";"Hồ Chí Minh";"NULL"
"31";"Bình Phước";"NULL"
"36";"Thái Nguyên";20
"19";"Lào Cai";"NULL"
"9";"Quảng Nam";49
"3";"Quảng Ninh";48
"66";"Hà Nam";40
"22";"Hậu Giang";"NULL"
"138";"Quảng Ngãi";48
"126";"Bình Định";"NULL"
"164";"Bình Phước";19
"199";"Lai Châu";46
"111";"Hà Nội";36
"55";"Sóc Trăng";18
"58";"Hải Dương";"NULL"
"31";"Ninh Bình";37
"119";"Bắc Ninh";"NULL"
"20";"Ninh Bình";"NULL"
"102";"Bình Dương";"NULL"
"5";"Trà Vinh";23
"92";"Bắc Kạn";39
"52";"Cà Mau";"NULL"
"10";"Hòa Bình";18
"171";"Bà Rịa - Vũng Tàu";29
"72";"Đà Nẵng";"NULL"
"56";"Kon Tum";22
"51";"Bắc Giang";30
"126";"Quảng Ngãi";"NULL"
"171";"Hà Giang";36
"59";"An Giang";23
"74";"Thái Nguyên";34
"74";"Sơn La";"NULL"
"105";"Tuyên Quang";"NULL"
"7";"Bến Tre";18
"87";"Long An";18
"24";"Thanh Hóa";"NULL"
"121";"Bà Rịa - Vũng Tàu";"NULL"
"187";"Phú Yên";"NULL"
"135";"Lạng Sơn";32
"115";"Kon Tum";"NULL"
"16";"Tây Ninh";"NULL"
"67";"Sơn La";30
"188";"Cà Mau";"NULL"
"67";"Cần Thơ";41
"155";"Hồ Chí Minh";"NULL"
"112";"Bình Dương";"NULL"
"103";"An Giang";"NULL"
"179";"Quảng Ninh";"NULL"
"58";"Sơn La";22
"91";"Hưng Yên";41
"129";"Bình Thuận";"NULL"
"79";"Bạc Liêu";"NULL"
"55";"Quảng Trị";"NULL"
"80";"Thái Bình";"NULL"
"16";"Long An";22
"56";"Thái Nguyên";28
"117";"Hà Giang";"NULL"
"162";"Hồ Chí Minh";"NULL"
"120";"Sóc Trăng";"NULL"
"24";"Gia Lai";"NULL"
"56";"Hòa Bình";"NULL"
"196";"Lai Châu";"NULL"
"155";"Điện Biên";"NULL"
"112";"Thừa Thiên Huế";22
"44";"Bà Rịa - Vũng Tàu";19
"170";"Bắc Giang";"NULL"
"128";"Nghệ An";47
"100";"Hải Phòng";46
"131";"Tiền Giang";31
"5";"Đồng Nai";"NULL"
"64";"Tiền Giang";"NULL"
"131";"Hà Nam";"NULL"
"152";"Yên Bái";"NULL"
"177";"Ninh Thuận";"NULL"
"87";"Hồ Chí Minh";"NULL"
"77";"Hà Tĩnh";"NULL"
"19";"Bình Định";"NULL"
"75";"Cà Mau";"NULL"
"188";"Quảng Bình";45
"197";"Thái Bình";"NULL"
"148";"Phú Thọ";"NULL"
"162";"Cần Thơ";"NULL"
"194";"Bình Thuận";"NULL"
"165";"Bắc Giang";"NULL"
"144";"Quảng Trị";"NULL"
"27";"Tây Ninh";"NULL"
"110";"Quảng Ngãi";49
"98";"Tuyên Quang";37
"88";"Tiền Giang";"NULL"
"101";"Hà Nội";"NULL"
"49";"Bà Rịa - Vũng Tàu";"NULL"
"69";"Hà Nam";"NULL"
"46";"Hải Dương";"NULL"
"129";"Hòa Bình";"NULL"
"12";"Bến Tre";39
"5";"Bình Dương";"NULL"
"50";"Ninh Bình";28
"128";"Hà Nội";34
"139";"Hà Nam";"NULL"
"93";"Hải Dương";"NULL"
"16";"Lào Cai";"NULL"
"25";"Quảng Ngãi";"NULL"
"190";"Gia Lai";"NULL"
"137";"Hòa Bình";34
"79";"Lào Cai";31
"98";"Quảng Trị";"NULL"
"33";"Hải Dương";27
"124";"An Giang";"NULL"
"168";"Trà Vinh";28
"60";"Bình Dương";24
"88";"An Giang";22
"144";"Trà Vinh";"NULL"
"200";"Long An";"NULL"
"46";"Ninh Bình";38
"28";"Quảng Ninh";31
"153";"An Giang";35
"99";"Khánh Hòa";26
"140";"Vĩnh Phúc";"NULL"
"156";"Đắk Lắk";21
"35";"Hòa Bình";41
"31";"Quảng Bình";34
"27";"Đắk Nông";44
"33";"Hà Nam";46
"89";"Đồng Nai";47
"122";"Kiên Giang";37
"29";"Quảng Ngãi";"NULL"
"89";"Hồ Chí Minh";"NULL"
"160";"Lai Châu";19
"121";"Khánh Hòa";"NULL"
"165";"Tây Ninh";24
"96";"Hồ Chí Minh";31
"158";"Hà Tĩnh";"NULL"
"58";"Kon Tum";23
"69";"Hà Nam";41
"96";"Đồng Tháp";"NULL"
"130";"Quảng Bình";26
"17";"Hòa Bình";22
"30";"Cao Bằng";42
"172";"Sơn La";"NULL"
"165";"Đắk Lắk";34
"42";"Sóc Trăng";"NULL"
"65";"An Giang";36
"33";"Nam Định";46
"69";"Hồ Chí Minh";42
"78";"Đắk Nông";45
"109";"Bắc Kạn";23
"101";"Gia Lai";"NULL"
"131";"Lai Châu";"NULL"
"182";"Lai Châu";"NULL"
"184";"Hà Nam";"NULL"
"173";"Kon Tum";32
"107";"Bình Phước";37
"50";"Đà Nẵng";25
"95";"Hậu Giang";"NULL"
"23";"Quảng Bình";"NULL"
"52";"Quảng Trị";"NULL"
"132";"Thái Nguyên";30
"146";"Cà Mau";24
"79";"Bến Tre";35
"125";"Vĩnh Phúc";48
"146";"An Giang";47
"147";"Điện Biên";"NULL"
"44";"Đắk Nông";"NULL"
"55";"Thanh Hóa";"NULL"
"115";"Trà Vinh";21
"8";"Thái Nguyên";22
"78";"Lào Cai";"NULL"
"64";"Bạc Liêu";"NULL"
"67";"Thanh Hóa";"NULL"
"163";"An Giang";"NULL"
"72";"Bình Dương";"NULL"
"90";"Ninh Thuận";34
"90";"Bình Dương";37
"189";"Hòa Bình";46
"158";"Nam Định";"NULL"
"126";"Thanh Hóa";"NULL"
